CEO Name,Founder (Y/N),Total Stock Return (TSR) During CEO's Tenure,Company Name,Ticker,Industry,Sector,CEO Compensation ($ millions),Equity Transactions,CEO Start Date,Start Date Stock Price,Stock Price
Haviv Ilan,N,9%,Texas Instruments Inc.,TXN,Semiconductors,Technology, ,https://www.nasdaq.com/market-activity/insiders/ilan-haviv-1013839,2023-04-01,$178.92 ,$195.00 
Lee M Shavel,N,85%,Verisk,VRSK,EDP Services,Technology, ,https://www.nasdaq.com/market-activity/insiders/shavel-lee-856287,2022-05-25,$168.24 ,$310.41 
Reshma Kewalramani,N,102%,Vertex Pharmaceuticals Inc.,VRTX,Biotechnology: Pharmaceutical Preparations,Health Care, ,https://www.nasdaq.com/market-activity/insiders/kewalramani-reshma-1049785,2020-04-01,$225.48 ,$455.45 
David Zaslav,N,-59%,Warner Bros Discovery Inc.,WBD,Cable & Other Pay Television Services,Telecommunications, ,https://www.nasdaq.com/market-activity/insiders/zaslav-david-666667,2022-04-08,$24.43 ,$10.03 
Carl M. Eschenbach,N,-17%,Workday Inc.,WDAY,EDP Services,Technology, ,https://www.nasdaq.com/market-activity/insiders/eschenbach-carl-m-754203,2024-02-01,$294.00 ,$244.54 
Bob Frenzel,N,6%,Xcel Energy Inc.,XEL,Power Generation,Utilities, ,https://www.nasdaq.com/market-activity/insiders/frenzel-robert-993896,2021-08-19,$63.72 ,$67.62 
Jay Chaudhry,Y,815%,Zscaler Inc.,ZS,EDP Services,Technology, ,https://www.nasdaq.com/market-activity/insiders/chaudhry-jagtar-singh-719995,2018-03-16,$33.00 ,$301.95 
,,, ,,,,,,,,
,,,,,,,,,,,
,,, ,,,,,,,,
,,, ,,,,,,,,
